current_path,filename,extension,size_bytes,primary_family,subfamily,lifecycle_status,authority,usage,scope,project,phase,trajectory,trajectory_role,logical_location_current,logical_location_target,naming_compliance,location_compliance,metadata_profile,content_summary,incoming_references,outgoing_references,duplicate_or_overlap,canonical_candidate,proposed_disposition,proposed_target_path,proposed_target_filename,rationale,risk_level,morris_gate_required,confidence,evidence,reserve_or_question,migration_lot_candidate
method/complementary/controlled-delivery/controlled-delivery-prompt-family.md,controlled-delivery-prompt-family.md,md,6254,F07,,draft,unknown,operational,method,,,SFIA v2.4,baseline,method,method,compliant,unknown,F,# SFIA — Controlled Delivery Prompt Family **Domaine SFIA** : Delivery Method **Statut** : Draft — Hardened **Référ,method/complementary/controlled-delivery/README.md; method/complementary/controlled-delivery/README.md; method/complementary/controlled-delivery/controlled-delivery-publication-package-summary.md; method/complementary/controlled-delivery/controlled-delivery-publication-package.md; method/complementary/controlled-delivery/controlled-delivery-publication-package.md; method/complementary/controlled-delivery/controlled-delivery-publication-prep.md; method/complementary/controlled-delivery/controlled-delivery-standard-hardening-summary.md; method/complementary/controlled-delivery/controlled-delivery-standard.md; method/complementary/controlled-delivery/controlled-delivery-standard.md,](controlled-delivery-standard.md); ](../../projects/interv360/archive/inc-01-phase-2-rex.md),no,no,keep,method/complementary/controlled-delivery/controlled-delivery-prompt-family.md,controlled-delivery-prompt-family.md,Family F07 from path/content heuristics; D10 location unknown; D12 naming compliant.,low,no,high,path+content-sample+incoming-link-count,Authority not established from content sample.,lot-E
method/complementary/controlled-delivery/controlled-delivery-publication-checklist.md,controlled-delivery-publication-checklist.md,md,1741,F07,,unknown,unknown,operational,method,,,SFIA v2.4,baseline,method,method,compliant,unknown,F,# SFIA — Controlled Delivery Publication Checklist **Domaine SFIA** : Delivery Method **Statut** : Checklist de publi,method/complementary/controlled-delivery/README.md; method/complementary/controlled-delivery/README.md; method/complementary/controlled-delivery/controlled-delivery-publication-package-summary.md; method/complementary/controlled-delivery/controlled-delivery-publication-package-summary.md; method/complementary/controlled-delivery/controlled-delivery-publication-package.md; method/complementary/controlled-delivery/controlled-delivery-publication-package.md; method/complementary/controlled-delivery/controlled-delivery-publication-package.md,](controlled-delivery-publication-package.md),no,no,keep,method/complementary/controlled-delivery/controlled-delivery-publication-checklist.md,controlled-delivery-publication-checklist.md,Family F07 from path/content heuristics; D10 location unknown; D12 naming compliant.,low,no,medium,path+content-sample+incoming-link-count,Authority not established from content sample. Lifecycle inferred insufficiently.,lot-E
method/complementary/controlled-delivery/controlled-delivery-publication-package-summary.md,controlled-delivery-publication-package-summary.md,md,5451,F07,,unknown,unknown,unknown,method,,,SFIA v2.4,baseline,method,method,compliant,unknown,F,# SFIA — Controlled Delivery Publication Package Summary **Domaine SFIA** : Delivery Method **Cycle** : Controlled De,method/complementary/controlled-delivery/controlled-delivery-index-integration.md; method/complementary/controlled-delivery/controlled-delivery-index-integration.md,](../../projects/interv360/archive/inc-01-phase-2-rex.md); ](../../projects/interv360/archive/inc-01-demo-script.md); ](../../projects/interv360/archive/inc-01-controlled-workflow-validation.md); ](../../projects/interv360/archive/inc-01-controlled-workflow-skeleton-summary.md); ](controlled-delivery-publication-checklist.md),no,no,keep,method/complementary/controlled-delivery/controlled-delivery-publication-package-summary.md,controlled-delivery-publication-package-summary.md,Family F07 from path/content heuristics; D10 location unknown; D12 naming compliant.,low,no,medium,path+content-sample+incoming-link-count,Usage unknown — verify references and operational role. Authority not established from content sample. Lifecycle inferred insufficiently.,lot-E
method/complementary/controlled-delivery/controlled-delivery-publication-package.md,controlled-delivery-publication-package.md,md,6547,F07,,unknown,unknown,operational,method,,,SFIA v2.4,baseline,method,method,compliant,unknown,F,# SFIA — Controlled Delivery Publication Package **Domaine SFIA** : Delivery Method **Cycle** : Controlled Delivery P,method/complementary/controlled-delivery/README.md; method/complementary/controlled-delivery/README.md; method/complementary/controlled-delivery/controlled-delivery-publication-checklist.md; method/complementary/controlled-delivery/controlled-delivery-publication-checklist.md,](controlled-delivery-publication-prep.md); ](README.md); ](../../projects/interv360/archive/inc-01-phase-2-rex.md); ](../../projects/interv360/archive/inc-01-demo-script.md); ](../../projects/interv360/archive/inc-01-controlled-workflow-validation.md),no,no,keep,method/complementary/controlled-delivery/controlled-delivery-publication-package.md,controlled-delivery-publication-package.md,Family F07 from path/content heuristics; D10 location unknown; D12 naming compliant.,low,no,medium,path+content-sample+incoming-link-count,Authority not established from content sample. Lifecycle inferred insufficiently.,lot-E
method/complementary/controlled-delivery/controlled-delivery-publication-prep.md,controlled-delivery-publication-prep.md,md,6979,F07,,unknown,unknown,operational,method,,,SFIA v2.4,baseline,method,method,compliant,unknown,F,# SFIA — Controlled Delivery Publication Prep **Domaine SFIA** : Delivery Method **Cycle** : Controlled Delivery Publ,method/complementary/controlled-delivery/README.md; method/complementary/controlled-delivery/README.md; method/complementary/controlled-delivery/controlled-delivery-publication-package.md; method/complementary/controlled-delivery/controlled-delivery-publication-package.md; method/complementary/controlled-delivery/controlled-delivery-publication-package.md; method/complementary/controlled-delivery/controlled-delivery-publication-package.md,](../../projects/interv360/archive/inc-01-phase-2-rex.md); ](../../projects/interv360/archive/inc-01-demo-script.md); ](../../projects/interv360/archive/inc-01-controlled-workflow-validation.md),no,no,keep,method/complementary/controlled-delivery/controlled-delivery-publication-prep.md,controlled-delivery-publication-prep.md,Family F07 from path/content heuristics; D10 location unknown; D12 naming compliant.,low,no,medium,path+content-sample+incoming-link-count,Authority not established from content sample. Lifecycle inferred insufficiently.,lot-E
method/complementary/controlled-delivery/controlled-delivery-standard-hardening-summary.md,controlled-delivery-standard-hardening-summary.md,md,5880,F07,,unknown,unknown,operational,method,,,SFIA v2.4,baseline,method,method,compliant,unknown,F,# SFIA — Controlled Delivery Standard Hardening Summary **Domaine SFIA** : Delivery Method **Cycle** : Controlled Del,method/complementary/controlled-delivery/README.md; method/complementary/controlled-delivery/README.md; method/complementary/controlled-delivery/controlled-delivery-publication-package.md; method/complementary/controlled-delivery/controlled-delivery-publication-prep.md,,no,no,keep,method/complementary/controlled-delivery/controlled-delivery-standard-hardening-summary.md,controlled-delivery-standard-hardening-summary.md,Family F07 from path/content heuristics; D10 location unknown; D12 naming compliant.,low,no,medium,path+content-sample+incoming-link-count,Authority not established from content sample. Lifecycle inferred insufficiently.,lot-E
method/complementary/controlled-delivery/controlled-delivery-standard-summary.md,controlled-delivery-standard-summary.md,md,5006,F07,,unknown,unknown,operational,method,,,SFIA v2.4,baseline,method,method,compliant,unknown,F,# SFIA — Controlled Delivery Standard Summary **Domaine SFIA** : Delivery Method **Cycle** : Controlled Delivery Stan,method/complementary/controlled-delivery/README.md; method/complementary/controlled-delivery/README.md; method/complementary/controlled-delivery/controlled-delivery-publication-package.md; method/complementary/controlled-delivery/controlled-delivery-publication-prep.md; method/complementary/controlled-delivery/controlled-delivery-standard-hardening-summary.md,](../../projects/interv360/archive/inc-01-phase-2-rex.md),no,no,keep,method/complementary/controlled-delivery/controlled-delivery-standard-summary.md,controlled-delivery-standard-summary.md,Family F07 from path/content heuristics; D10 location unknown; D12 naming compliant.,low,no,medium,path+content-sample+incoming-link-count,Authority not established from content sample. Lifecycle inferred insufficiently.,lot-E
method/complementary/controlled-delivery/controlled-delivery-standard.md,controlled-delivery-standard.md,md,9029,F07,,draft,unknown,operational,method,,,SFIA v2.4,baseline,method,method,compliant,unknown,F,# SFIA — Controlled Delivery Standard **Domaine SFIA** : Delivery Method **Statut** : Draft — Hardened **Origine**,method/complementary/controlled-delivery/README.md; method/complementary/controlled-delivery/README.md; method/complementary/controlled-delivery/controlled-delivery-checklist.md; method/complementary/controlled-delivery/controlled-delivery-checklist.md; method/complementary/controlled-delivery/controlled-delivery-prompt-family.md; method/complementary/controlled-delivery/controlled-delivery-prompt-family.md; method/complementary/controlled-delivery/controlled-delivery-publication-package-summary.md; method/complementary/controlled-delivery/controlled-delivery-publication-package.md; method/complementary/controlled-delivery/controlled-delivery-publication-package.md; method/complementary/controlled-delivery/controlled-delivery-publication-prep.md,](../../projects/interv360/archive/inc-01-phase-2-rex.md); ](controlled-delivery-checklist.md); ](controlled-delivery-template.md); ](controlled-delivery-prompt-family.md),no,no,keep,method/complementary/controlled-delivery/controlled-delivery-standard.md,controlled-delivery-standard.md,Family F07 from path/content heuristics; D10 location unknown; D12 naming compliant.,low,no,high,path+content-sample+incoming-link-count,Authority not established from content sample.,lot-E
method/complementary/controlled-delivery/controlled-delivery-template.md,controlled-delivery-template.md,md,3034,F07,,draft,unknown,operational,method,,,SFIA v2.4,baseline,method,method,compliant,unknown,F,# SFIA — Controlled Delivery Template **Projet** : `<project-name>` **Incrément** : `<increment-name>` **Cycle** :,method/complementary/controlled-delivery/README.md; method/complementary/controlled-delivery/README.md; method/complementary/controlled-delivery/controlled-delivery-publication-package-summary.md; method/complementary/controlled-delivery/controlled-delivery-publication-package.md; method/complementary/controlled-delivery/controlled-delivery-publication-package.md; method/complementary/controlled-delivery/controlled-delivery-publication-prep.md; method/complementary/controlled-delivery/controlled-delivery-standard-hardening-summary.md; method/complementary/controlled-delivery/controlled-delivery-standard.md; method/complementary/controlled-delivery/controlled-delivery-standard.md,](controlled-delivery-standard.md),no,no,keep,method/complementary/controlled-delivery/controlled-delivery-template.md,controlled-delivery-template.md,Family F07 from path/content heuristics; D10 location unknown; D12 naming compliant.,low,no,high,path+content-sample+incoming-link-count,Authority not established from content sample.,lot-E
method/complementary/controlled-delivery/delivery-acceleration-level-3-rex.md,delivery-acceleration-level-3-rex.md,md,7415,F07,,unknown,unknown,operational,method,,,SFIA v2.4,baseline,method,method,compliant,unknown,F,# SFIA — Delivery Acceleration Level 3 REX **Méthode** : Controlled Delivery **Cycle** : Delivery Acceleration Level,method/complementary/controlled-delivery/README.md; method/complementary/controlled-delivery/README.md; method/complementary/controlled-delivery/README.md,,no,no,keep,method/complementary/controlled-delivery/delivery-acceleration-level-3-rex.md,delivery-acceleration-level-3-rex.md,Family F07 from path/content heuristics; D10 location unknown; D12 naming compliant.,low,no,medium,path+content-sample+incoming-link-count,Authority not established from content sample. Lifecycle inferred insufficiently.,lot-E
method/sfia-fast-track/README.md,README.md,md,4000,F13,,unknown,reference,unknown,method,,,SFIA v2.4,baseline,method,method,compliant,unknown,E,"# SFIA Fast Track ## 1. Objectif SFIA Fast Track est la méthode de livraison rapide, contrôlée et capitalisable utilis",,,no,no,keep,method/sfia-fast-track/README.md,README.md,Family F13 from path/content heuristics; D10 location unknown; D12 naming compliant.,low,no,medium,path+content-sample+incoming-link-count,Usage unknown — verify references and operational role. Lifecycle inferred insufficiently.,lot-E
method/sfia-fast-track/archive/interv360-realization/README.md,README.md,md,238,F13,,archived,reference,non-operational,method,,,SFIA v2.4,baseline,archive,archive,compliant,unknown,E,# Archive — Interv360 Realization Ce dossier contient les documents historiques produits avant stabilisation de la méth,,,no,no,keep,method/sfia-fast-track/archive/interv360-realization/README.md,README.md,Family F13 from path/content heuristics; D10 location unknown; D12 naming compliant.,low,no,high,path+content-sample+incoming-link-count,,lot-E
method/sfia-fast-track/archive/interv360-realization/capitalization-plan.md,capitalization-plan.md,md,5953,F10,,archived,supporting,non-operational,method,,,SFIA v2.4,baseline,archive,archive,non-compliant,unknown,B,# SFIA — Interv360 realization capitalization plan **Type** : Plan de capitalisation méthode **Référence projet** : I,method/sfia-fast-track/archive/interv360-realization/capitalization-summary.md; method/sfia-fast-track/archive/interv360-realization/capitalization-summary.md; method/sfia-fast-track/archive/interv360-realization/capitalization-summary.md; method/sfia-fast-track/archive/interv360-realization/capitalization-summary.md; method/sfia-fast-track/archive/interv360-realization/notion-integration-plan.md; method/sfia-fast-track/archive/interv360-realization/notion-integration-plan.md; method/sfia-fast-track/archive/interv360-realization/notion-integration-plan.md; method/sfia-fast-track/archive/interv360-realization/notion-integration-plan.md; method/sfia-fast-track/archive/interv360-realization/realization-checklists.md; method/sfia-fast-track/archive/interv360-realization/realization-checklists.md,,no,no,rename,method/sfia-fast-track/archive/interv360-realization/capitalization-plan.md,2026-07-11-capitalization-plan.md,Family F10 from path/content heuristics; D10 location unknown; D12 naming non-compliant.,medium,no,high,path+content-sample+incoming-link-count,,lot-D
method/sfia-fast-track/archive/interv360-realization/capitalization-summary.md,capitalization-summary.md,md,15768,F10,,archived,supporting,non-operational,method,,,SFIA v2.4,baseline,archive,archive,non-compliant,unknown,B,# SFIA — Interv360 realization capitalization summary **Type** : Synthèse de capitalisation méthode **Origine de capi,method/sfia-fast-track/archive/interv360-realization/notion-integration-plan.md; method/sfia-fast-track/archive/interv360-realization/notion-integration-plan.md; method/sfia-fast-track/archive/interv360-realization/notion-integration-plan.md; method/sfia-fast-track/archive/interv360-realization/notion-integration-plan.md; method/sfia-fast-track/archive/interv360-realization/realization-prompt-family.md,](capitalization-plan.md); ](realization-method.md); ](realization-deliverables-standard.md); ](realization-checklists.md); ](realization-templates.md),no,no,rename,method/sfia-fast-track/archive/interv360-realization/capitalization-summary.md,2026-07-11-capitalization-summary.md,Family F10 from path/content heuristics; D10 location unknown; D12 naming non-compliant.,medium,no,high,path+content-sample+incoming-link-count,,lot-D
method/sfia-fast-track/archive/interv360-realization/notion-integration-plan.md,notion-integration-plan.md,md,16161,F01,,archived,unknown,non-operational,method,,,SFIA v2.4,baseline,archive,archive,compliant,unknown,A,# SFIA — Realization Notion integration plan **Type** : Plan d'intégration Notion **Origine de capitalisation** : Int,method/sfia-fast-track/archive/interv360-realization/capitalization-summary.md; method/sfia-fast-track/archive/interv360-realization/capitalization-summary.md; method/sfia-fast-track/archive/interv360-realization/capitalization-summary.md; method/sfia-fast-track/archive/interv360-realization/capitalization-summary.md; method/sfia-fast-track/archive/interv360-realization/capitalization-summary.md; method/sfia-fast-track/archive/interv360-realization/capitalization-summary.md; method/sfia-fast-track/archive/interv360-realization/capitalization-summary.md,](capitalization-plan.md); ](realization-method.md); ](realization-deliverables-standard.md); ](realization-checklists.md); ](realization-templates.md),no,no,keep,method/sfia-fast-track/archive/interv360-realization/notion-integration-plan.md,notion-integration-plan.md,Family F01 from path/content heuristics; D10 location unknown; D12 naming compliant.,low,no,high,path+content-sample+incoming-link-count,Authority not established from content sample.,lot-E
method/sfia-fast-track/archive/interv360-realization/realization-checklists.md,realization-checklists.md,md,14396,F01,,archived,unknown,non-operational,method,,,SFIA v2.4,baseline,archive,archive,compliant,unknown,A,# SFIA — Realization checklists **Type** : Checklists réutilisables de préparation réalisation **Origine de capitalis,method/sfia-fast-track/archive/interv360-realization/capitalization-summary.md; method/sfia-fast-track/archive/interv360-realization/capitalization-summary.md; method/sfia-fast-track/archive/interv360-realization/capitalization-summary.md; method/sfia-fast-track/archive/interv360-realization/capitalization-summary.md; method/sfia-fast-track/archive/interv360-realization/capitalization-summary.md; method/sfia-fast-track/archive/interv360-realization/capitalization-summary.md; method/sfia-fast-track/archive/interv360-realization/capitalization-summary.md; method/sfia-fast-track/archive/interv360-realization/notion-integration-plan.md; method/sfia-fast-track/archive/interv360-realization/notion-integration-plan.md; method/sfia-fast-track/archive/interv360-realization/notion-integration-plan.md,](capitalization-plan.md); ](realization-method.md); ](realization-deliverables-standard.md),no,no,keep,method/sfia-fast-track/archive/interv360-realization/realization-checklists.md,realization-checklists.md,Family F01 from path/content heuristics; D10 location unknown; D12 naming compliant.,low,no,high,path+content-sample+incoming-link-count,Authority not established from content sample.,lot-E
method/sfia-fast-track/archive/interv360-realization/realization-deliverables-standard.md,realization-deliverables-standard.md,md,19132,F01,,archived,unknown,non-operational,method,,,SFIA v2.4,baseline,archive,archive,compliant,unknown,A,# SFIA — Realization deliverables standard **Type** : Standard des livrables de préparation réalisation **Origine de,method/sfia-fast-track/archive/interv360-realization/capitalization-summary.md; method/sfia-fast-track/archive/interv360-realization/capitalization-summary.md; method/sfia-fast-track/archive/interv360-realization/capitalization-summary.md; method/sfia-fast-track/archive/interv360-realization/capitalization-summary.md; method/sfia-fast-track/archive/interv360-realization/capitalization-summary.md; method/sfia-fast-track/archive/interv360-realization/capitalization-summary.md; method/sfia-fast-track/archive/interv360-realization/capitalization-summary.md; method/sfia-fast-track/archive/interv360-realization/notion-integration-plan.md; method/sfia-fast-track/archive/interv360-realization/notion-integration-plan.md; method/sfia-fast-track/archive/interv360-realization/notion-integration-plan.md,](capitalization-plan.md); ](realization-method.md),no,no,keep,method/sfia-fast-track/archive/interv360-realization/realization-deliverables-standard.md,realization-deliverables-standard.md,Family F01 from path/content heuristics; D10 location unknown; D12 naming compliant.,low,no,high,path+content-sample+incoming-link-count,Authority not established from content sample.,lot-E
method/sfia-fast-track/archive/interv360-realization/realization-method.md,realization-method.md,md,18266,F01,,archived,unknown,non-operational,method,,,SFIA v2.4,baseline,archive,archive,compliant,unknown,A,# SFIA — Realization preparation method **Type** : Méthode générique de préparation réalisation **Origine de capitali,method/sfia-fast-track/archive/interv360-realization/capitalization-summary.md; method/sfia-fast-track/archive/interv360-realization/capitalization-summary.md; method/sfia-fast-track/archive/interv360-realization/capitalization-summary.md; method/sfia-fast-track/archive/interv360-realization/capitalization-summary.md; method/sfia-fast-track/archive/interv360-realization/capitalization-summary.md; method/sfia-fast-track/archive/interv360-realization/capitalization-summary.md; method/sfia-fast-track/archive/interv360-realization/capitalization-summary.md; method/sfia-fast-track/archive/interv360-realization/notion-integration-plan.md; method/sfia-fast-track/archive/interv360-realization/notion-integration-plan.md; method/sfia-fast-track/archive/interv360-realization/notion-integration-plan.md,](capitalization-plan.md),no,no,keep,method/sfia-fast-track/archive/interv360-realization/realization-method.md,realization-method.md,Family F01 from path/content heuristics; D10 location unknown; D12 naming compliant.,low,no,high,path+content-sample+incoming-link-count,Authority not established from content sample.,lot-E
method/sfia-fast-track/archive/interv360-realization/realization-prompt-family.md,realization-prompt-family.md,md,25793,F01,,archived,unknown,non-operational,method,,,SFIA v2.4,baseline,archive,archive,compliant,unknown,A,# SFIA — Realization prompt family **Type** : Famille de prompts Cursor / ChatGPT **Origine de capitalisation** : Int,method/sfia-fast-track/archive/interv360-realization/capitalization-summary.md; method/sfia-fast-track/archive/interv360-realization/capitalization-summary.md; method/sfia-fast-track/archive/interv360-realization/capitalization-summary.md; method/sfia-fast-track/archive/interv360-realization/capitalization-summary.md; method/sfia-fast-track/archive/interv360-realization/capitalization-summary.md; method/sfia-fast-track/archive/interv360-realization/capitalization-summary.md; method/sfia-fast-track/archive/interv360-realization/capitalization-summary.md; method/sfia-fast-track/archive/interv360-realization/notion-integration-plan.md; method/sfia-fast-track/archive/interv360-realization/notion-integration-plan.md; method/sfia-fast-track/archive/interv360-realization/notion-integration-plan.md,](capitalization-plan.md); ](realization-method.md); ](realization-deliverables-standard.md); ](realization-checklists.md); ](realization-templates.md),no,no,keep,method/sfia-fast-track/archive/interv360-realization/realization-prompt-family.md,realization-prompt-family.md,Family F01 from path/content heuristics; D10 location unknown; D12 naming compliant.,low,no,high,path+content-sample+incoming-link-count,Authority not established from content sample.,lot-E
method/sfia-fast-track/archive/interv360-realization/realization-templates.md,realization-templates.md,md,18553,F01,,archived,unknown,non-operational,method,,,SFIA v2.4,baseline,archive,archive,compliant,unknown,A,# SFIA — Realization document templates **Type** : Modèles génériques de documents de préparation réalisation **Origi,method/sfia-fast-track/archive/interv360-realization/capitalization-summary.md; method/sfia-fast-track/archive/interv360-realization/capitalization-summary.md; method/sfia-fast-track/archive/interv360-realization/capitalization-summary.md; method/sfia-fast-track/archive/interv360-realization/capitalization-summary.md; method/sfia-fast-track/archive/interv360-realization/capitalization-summary.md; method/sfia-fast-track/archive/interv360-realization/capitalization-summary.md; method/sfia-fast-track/archive/interv360-realization/capitalization-summary.md; method/sfia-fast-track/archive/interv360-realization/notion-integration-plan.md; method/sfia-fast-track/archive/interv360-realization/notion-integration-plan.md; method/sfia-fast-track/archive/interv360-realization/notion-integration-plan.md,](capitalization-plan.md); ](realization-method.md); ](realization-deliverables-standard.md); ](realization-checklists.md),no,no,keep,method/sfia-fast-track/archive/interv360-realization/realization-templates.md,realization-templates.md,Family F01 from path/content heuristics; D10 location unknown; D12 naming compliant.,low,no,high,path+content-sample+incoming-link-count,Authority not established from content sample.,lot-E
method/sfia-fast-track/audit-rex/README.md,README.md,md,112,F13,,unknown,reference,unknown,method,,,SFIA v2.4,baseline,method,method,compliant,unknown,E,# SFIA Fast Track — Audit & REX Audits et retours d'expérience utilisés pour capitaliser les projets SFIA.,,,no,no,keep,method/sfia-fast-track/audit-rex/README.md,README.md,Family F13 from path/content heuristics; D10 location unknown; D12 naming compliant.,low,no,medium,path+content-sample+incoming-link-count,Usage unknown — verify references and operational role. Lifecycle inferred insufficiently.,lot-E
method/sfia-fast-track/audit-rex/interv360-application-rex.md,interv360-application-rex.md,md,7155,F10,,unknown,supporting,unknown,method,,,SFIA v2.4,baseline,method,method,compliant,unknown,B,# Interv360 — REX de l'application actuelle ## 1. Objectif Ce document formalise le retour d'expérience sur l'applicat,,,no,no,keep,method/sfia-fast-track/audit-rex/interv360-application-rex.md,interv360-application-rex.md,Family F10 from path/content heuristics; D10 location unknown; D12 naming compliant.,low,no,medium,path+content-sample+incoming-link-count,Usage unknown — verify references and operational role. Lifecycle inferred insufficiently.,lot-E
method/sfia-fast-track/automation/README.md,README.md,md,832,F13,,unknown,reference,unknown,method,,,SFIA v2.4,baseline,method,method,compliant,unknown,E,# SFIA Fast Track — Automation This folder contains SFIA automation architecture and engine specifications. ## Archite,,,no,no,keep,method/sfia-fast-track/automation/README.md,README.md,Family F13 from path/content heuristics; D10 location unknown; D12 naming compliant.,low,no,medium,path+content-sample+incoming-link-count,Usage unknown — verify references and operational role. Lifecycle inferred insufficiently.,lot-E
method/sfia-fast-track/automation/sfia-automation-architecture.md,sfia-automation-architecture.md,md,19068,F15,,unknown,unknown,operational,method,,,SFIA v2.4,baseline,method,method,compliant,unknown,F,--- status: foundation version: v1.1 updated_after: SFIA foundation v1.1 consolidation scope: automation architecture --,docs/architecture/README.md; method/sfia-fast-track/README.md; method/sfia-fast-track/automation/README.md; method/sfia-fast-track/automation/sfia-prompt-generation-engine.md; method/sfia-fast-track/automation/sfia-repository-execution-engine.md; method/sfia-fast-track/automation/sfia-validation-engine.md,,no,no,keep,method/sfia-fast-track/automation/sfia-automation-architecture.md,sfia-automation-architecture.md,Family F15 from path/content heuristics; D10 location unknown; D12 naming compliant.,low,no,medium,path+content-sample+incoming-link-count,Authority not established from content sample. Lifecycle inferred insufficiently.,lot-I
method/sfia-fast-track/automation/sfia-prompt-generation-engine.md,sfia-prompt-generation-engine.md,md,19269,F15,,unknown,unknown,unknown,method,,,SFIA v2.4,baseline,method,method,compliant,unknown,F,--- status: foundation version: v1.1 previous: sfia-automation-architecture.md updated_after: SFIA foundation v1.1 conso,docs/architecture/README.md; method/sfia-fast-track/automation/README.md,,no,no,keep,method/sfia-fast-track/automation/sfia-prompt-generation-engine.md,sfia-prompt-generation-engine.md,Family F15 from path/content heuristics; D10 location unknown; D12 naming compliant.,low,no,medium,path+content-sample+incoming-link-count,Usage unknown — verify references and operational role. Authority not established from content sample. Lifecycle inferred insufficiently.,lot-I
method/sfia-fast-track/automation/sfia-repository-execution-engine.md,sfia-repository-execution-engine.md,md,20986,F15,,unknown,unknown,operational,method,,,SFIA v2.4,baseline,method,method,compliant,unknown,F,--- status: foundation version: v1.1 previous: sfia-automation-architecture.md updated_after: SFIA foundation v1.1 conso,docs/architecture/README.md; method/sfia-fast-track/automation/README.md; method/sfia-fast-track/automation/sfia-prompt-generation-engine.md,,no,no,keep,method/sfia-fast-track/automation/sfia-repository-execution-engine.md,sfia-repository-execution-engine.md,Family F15 from path/content heuristics; D10 location unknown; D12 naming compliant.,low,no,medium,path+content-sample+incoming-link-count,Authority not established from content sample. Lifecycle inferred insufficiently.,lot-I
method/sfia-fast-track/automation/sfia-validation-engine.md,sfia-validation-engine.md,md,21711,F15,,unknown,unknown,operational,method,,,SFIA v2.4,baseline,method,method,compliant,unknown,F,--- status: foundation version: v1.1 previous: sfia-automation-architecture.md updated_after: SFIA foundation v1.1 conso,docs/architecture/README.md; method/sfia-fast-track/automation/README.md; method/sfia-fast-track/automation/sfia-prompt-generation-engine.md; method/sfia-fast-track/automation/sfia-repository-execution-engine.md,,no,no,keep,method/sfia-fast-track/automation/sfia-validation-engine.md,sfia-validation-engine.md,Family F15 from path/content heuristics; D10 location unknown; D12 naming compliant.,low,no,medium,path+content-sample+incoming-link-count,Authority not established from content sample. Lifecycle inferred insufficiently.,lot-I
method/sfia-fast-track/checklists/README.md,README.md,md,1343,F13,,unknown,reference,unknown,method,,,SFIA v2.4,baseline,method,method,compliant,unknown,E,"# SFIA Fast Track — Checklists This folder contains operational checklists used to apply SFIA Fast Track rules, guardra",,,no,no,keep,method/sfia-fast-track/checklists/README.md,README.md,Family F13 from path/content heuristics; D10 location unknown; D12 naming compliant.,low,no,medium,path+content-sample+incoming-link-count,Usage unknown — verify references and operational role. Lifecycle inferred insufficiently.,lot-E
method/sfia-fast-track/checklists/guardrails-checklist.md,guardrails-checklist.md,md,945,F03,,unknown,unknown,unknown,method,,,SFIA v2.4,baseline,method,method,compliant,unknown,F,# SFIA Fast Track — Guardrails Checklist ## 1. Garde-fous globaux - [ ] Pas de backend modifié hors scope - [ ] Pas d',method/sfia-fast-track/checklists/README.md; method/sfia-fast-track/checklists/README.md,,no,no,keep,method/sfia-fast-track/checklists/guardrails-checklist.md,guardrails-checklist.md,Family F03 from path/content heuristics; D10 location unknown; D12 naming compliant.,low,no,medium,path+content-sample+incoming-link-count,Usage unknown — verify references and operational role. Authority not established from content sample. Lifecycle inferred insufficiently.,lot-E
method/sfia-fast-track/checklists/notion-publication-checklist.md,notion-publication-checklist.md,md,709,F03,,unknown,unknown,unknown,method,,,SFIA v2.4,baseline,method,method,compliant,unknown,F,# SFIA Fast Track — Notion Publication Checklist ## 1. Préparation - [ ] Audit documentaire réalisé - [ ] Arborescence,method/sfia-fast-track/checklists/README.md; method/sfia-fast-track/checklists/README.md,,no,no,keep,method/sfia-fast-track/checklists/notion-publication-checklist.md,notion-publication-checklist.md,Family F03 from path/content heuristics; D10 location unknown; D12 naming compliant.,low,no,medium,path+content-sample+incoming-link-count,Usage unknown — verify references and operational role. Authority not established from content sample. Lifecycle inferred insufficiently.,lot-E
method/sfia-fast-track/checklists/sfia-validation-checklist.md,sfia-validation-checklist.md,md,19480,F03,,unknown,unknown,operational,method,,,SFIA v2.4,baseline,method,method,compliant,unknown,F,--- status: validated version: v1.2 updated_after: SFIA v2.4.1 documentation status promotion — PR #140 scope: validatio,docs/architecture/README.md; method/sfia-fast-track/checklists/README.md; method/sfia-fast-track/checklists/README.md; method/sfia-fast-track/checklists/README.md,,no,no,keep,method/sfia-fast-track/checklists/sfia-validation-checklist.md,sfia-validation-checklist.md,Family F03 from path/content heuristics; D10 location unknown; D12 naming compliant.,low,no,medium,path+content-sample+incoming-link-count,Authority not established from content sample. Lifecycle inferred insufficiently.,lot-E
method/sfia-fast-track/checklists/validation-checklist.md,validation-checklist.md,md,828,F03,,unknown,unknown,unknown,method,,,SFIA v2.4,baseline,method,method,compliant,unknown,F,# SFIA Fast Track — Validation Checklist ## 1. Git - [ ] Branche correcte - [ ] `git status --short` vérifié - [ ] `gi,method/sfia-fast-track/checklists/README.md; method/sfia-fast-track/checklists/README.md,,no,no,keep,method/sfia-fast-track/checklists/validation-checklist.md,validation-checklist.md,Family F03 from path/content heuristics; D10 location unknown; D12 naming compliant.,low,no,medium,path+content-sample+incoming-link-count,Usage unknown — verify references and operational role. Authority not established from content sample. Lifecycle inferred insufficiently.,lot-E
